alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
CAB,51,-81781.11366065213,-4937.712611198105,"[19.303687189246283, 1.546572433781458, 0.2960548970750364, 79.26004374930994, 1.9275818932175166, 0.16652894905777404, -3.055127404794848]",50,100,19.94
CAB,49,-78556.39454146007,-5584.360943499167,"[19.839396097420916, 2.1233908521021965, 0.24660224313054918, 76.20363595051688, 2.49791757321866, 0.21235720981213294, -3.3270959529721695]",50,100,21.02
CAB,50,-77723.29053965452,-5059.03467986827,"[40.656082255444645, 1.8170715633888606, 0.23094601071014115, 38.86124398779068, 1.9860754988877147, 0.1990890621422725, -2.770102707784447]",50,100,21.15
CAB,52,-55637.131148682296,-3090.8265597285,"[14.86839688357175, 2.1194829564740525, 0.3242751150035155, 31.677599521628725, 1.2816241339725685, 0.3975261911525558, -2.8558684688285143]",50,100,21.35
CAB,53,-90380.52581774324,-5396.3259846506235,"[21.475804890460612, 2.3847110662439595, 0.2436353839443114, 149.00167295617194, 1.6485878078801013, 0.2281448774431632, -3.1552785655216957]",50,100,20.95
CAB,56,-68544.72328159025,-5530.817295778495,"[7.856861298100747, 1.8413405057959924, 0.31563527411628944, 29.129441029504246, 1.5944259445713673, 0.1314134238293965, -3.4181469830815514]",50,100,19.43
CAB,55,-83263.39455218862,-4924.707364533129,"[12.789664356979923, 1.7314665339205344, 0.2862837307828885, 31.12274523989724, 1.8859431654923333, 0.15974411542065814, -3.18965348442532]",50,100,19.95
CAB,54,-67840.8341539098,-4779.683150734096,"[25.842237566343584, 1.6788444028103466, 0.3379727782743946, 65.72845390527358, 1.5239374593586785, 0.14773273885394742, -2.739037551279444]",50,100,22.13
CAB,58,-67276.78174815667,-3639.9385761664353,"[47.51106708724352, 2.046106351057087, 0.2455174036140556, 114.87754582750915, 1.862232765711231, 0.1567380360048642, -2.503085852484827]",50,100,20.75
CAB,57,-46138.32279949685,-4320.909174522729,"[31.076942828676852, 1.8827595437813667, 0.5, 33.9456567308537, 0.8045640183613165, 0.2415007408676352, -2.5364101108042965]",50,100,21.46
CAB,59,-20343.949505852386,-1841.9595085981969,"[13.181420699350037, 1.7741718020264339, 0.459442614028485, 197.843082260338, 2.1395647431163822, 0.4391557280739901, -0.699242729211833]",50,100,20.74
GWO,0,-249554.73432844505,-9181.19522451964,"[5.0, 0.8649346965997776, 0.2027296415530535, 50.308532699921976, 2.1938452290060164, 0.3073840636993072, -4.0]",50,100,15.84
