alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,w,c1,c2
PSO,3,2.8398666189823456,"[0.7058217285571058, 0.15711682822406325, 0.03305690543861084, -0.13932212160120727, 0.1767469511244899, 0.4443321082065812]",14,10,0.02,100,0.8,1.8,1.8
PSO,4,2.410649763892611,"[0.644403740391496, 0.19523633351860514, -0.020042382469587672, -0.004523997258970347, 0.05463398365628436, 0.29952068721551806]",33,10,0.05,100,0.8,1.8,1.8
PSO,0,3.8383018910727604,"[-1.0320621313998388, -0.8723716219363002, 0.2926714921488536, 0.18711688485829736, -1.2024896804913396, -0.011547760896352663]",29,10,0.04,100,0.9,2.0,2.0
PSO,1,3.6776944240911438,"[0.32569652799075444, 0.2485188735631476, 0.2692401524936674, -0.8010738742017395, -0.2613001314260952, -0.6106260126215228]",15,10,0.02,100,0.9,2.0,2.0
PSO,2,3.288131102797696,"[0.14149107281565534, -0.9851817201249956, -0.2043173454098186, -0.29796401526367416, 0.4524071662387221, -0.14279247099949854]",17,10,0.03,100,0.9,2.0,2.0
PSO,3,2.1196655922302097,"[0.0066426444765252946, 0.16025715645284005, 0.9809838273216354, -0.14645622776062295, 0.04885783110988273, -0.14343992790787102]",26,10,0.04,100,0.9,2.0,2.0
PSO,4,3.7104569803390466,"[0.625971277805673, -0.7780821633235071, 0.6991906052911012, -0.18102073505310134, -0.3484590582157647, -0.04016056119419242]",31,10,0.05,100,0.9,2.0,2.0
PSO,0,3.497471039426888,"[0.9540343590737166, -1.0665047411505029, 0.9337017066386377, 0.9642873657950866, 1.0552710033444055, 0.06780335678823235]",16,10,0.03,100,0.9,2.0,1.8
PSO,1,3.779044200840389,"[0.2271695333822663, -0.3587098961053503, -0.6250439218747679, -0.4332522718304255, -0.021382561181679804, -0.9893852639008709]",13,10,0.02,100,0.9,2.0,1.8
PSO,2,3.525994052209612,"[-0.23844442594589588, -1.0357364121794985, 0.85429344279593, -0.8786619535451798, -0.006158260497811319, -0.27731999623266823]",33,10,0.05,100,0.9,2.0,1.8
PSO,3,2.086740589324226,"[0.35511127352027794, 0.08124058497220787, -0.036752780431359655, -0.14943250450709433, 0.15094171402876366, 0.2817325948097742]",14,10,0.02,100,0.9,2.0,1.8
PSO,4,2.938194711199007,"[-0.8984273111338184, -0.30443974839218385, -0.05693481023648839, 0.02036324015451685, -0.031127158562326507, -0.5606612082437707]",25,10,0.04,100,0.9,2.0,1.8
PSO,0,3.6596722968823525,"[0.6468342739505974, 0.5075207405088973, -0.026389143171452023, -0.3013239691729852, -0.19857113305131602, -0.9043448125034393]",24,10,0.04,100,0.9,1.8,2.0
PSO,1,3.4938326775149418,"[0.7470104995228222, 0.1563121650403324, 0.17845907570456898, -0.6744106925487561, -0.12714184424371155, -0.5180443857629284]",15,10,0.02,100,0.9,1.8,2.0
PSO,2,3.6175263564393956,"[0.7987477867680792, -0.892668786498795, 0.8438742748264434, 0.05333192232564077, 0.9623881003098886, 0.9074436581537144]",15,10,0.02,100,0.9,1.8,2.0
PSO,3,2.046619920571502,"[0.08695207680289219, 0.42130725508683803, 0.15852761883827712, 0.07385466865583945, -0.2307428853772594, -0.06165526870543653]",28,10,0.04,100,0.9,1.8,2.0
PSO,4,2.514110744222393,"[0.07420235888882248, 0.36897649602514093, -0.038983778257352, 0.22658313255308152, 0.3348978573822712, 0.23615023706125116]",40,10,0.06,100,0.9,1.8,2.0
PSO,0,2.3536885657827686,"[-0.14849860758818978, -0.20767021588313517, 0.11553146118027735, 0.32746568966807155, 0.24595321651174418, -0.2308115990431523]",17,10,0.03,100,0.9,1.8,1.8
PSO,1,2.7341349544735434,"[0.018208757669277015, -0.22149433750410685, 0.143490268264709, -0.8437800482878866, -0.08779958887973827, -0.8829914093402147]",16,10,0.02,100,0.9,1.8,1.8
PSO,2,3.757628253049529,"[-0.1235062426359047, -0.17119734809160247, 0.5894568664467317, -0.7362798915178261, -0.7527814516371425, -0.36040206954200515]",17,10,0.03,100,0.9,1.8,1.8
PSO,3,2.8888761147742916,"[-1.003325352964478, 0.07783731545308942, 1.046147507161518, -0.05865278551683195, 0.11436322611491279, -0.9932883859777966]",20,10,0.03,100,0.9,1.8,1.8
PSO,4,3.337008823168152,"[0.010372642122489673, -0.3083919079793933, 0.8220925011485476, -0.9314584329131934, -0.12311246354670202, 0.8789342022699405]",15,10,0.02,100,0.9,1.8,1.8
